tileHighlands,3744,416,0,16,32,16,0,1,1,4294967295
tileHighlands,3744,432,0,16,32,16,0,1,1,4294967295
tileHighlands,3744,448,0,16,32,16,0,1,1,4294967295
tileHighlands,3744,464,0,16,32,16,0,1,1,4294967295
tileHighlands,3776,416,0,16,32,16,0,1,1,4294967295
tileHighlands,3776,432,0,16,32,16,0,1,1,4294967295
tileHighlands,3776,448,0,16,32,16,0,1,1,4294967295
tileHighlands,3776,464,0,16,32,16,0,1,1,4294967295
tileHighlands,3808,416,0,16,32,16,0,1,1,4294967295
tileHighlands,3808,432,0,16,32,16,0,1,1,4294967295
tileHighlands,3808,448,0,16,32,16,0,1,1,4294967295
tileHighlands,3808,464,0,16,32,16,0,1,1,4294967295
tileHighlands,3744,480,0,16,32,16,0,1,1,4294967295
tileHighlands,3776,480,0,16,32,16,0,1,1,4294967295
tileHighlands,3808,480,0,16,32,16,0,1,1,4294967295
