oCh18GeyserPlat,192,4128,002A77AE,0,1,1,4294967295,0,0
oExit,0,4096,00282279,0,1,1,4294967295,0,1
oCh18LavaGeyser,240,4256,0028B4B3,0,1,1,4294967295,0,0
oExit,192,-16,00195897,0,1,1,4294967295,0,1
oPlayer1,48,4128,00371833,0,1,1,4294967295,0,0
oInvCollPH,16,4128,00053766,0,1,1,4294967295,0,0
oInvCollPH,32,4128,00074923,0,1,1,4294967295,0,0
oInvCollPH,48,4128,0039549A,0,1,1,4294967295,0,0
oInvCollPH,64,4128,001A78FB,0,1,1,4294967295,0,0
oInvCollPH,80,4128,00060EC3,0,1,1,4294967295,0,0
oInvCollPH,96,4128,003A006F,0,1,1,4294967295,0,0
oInvCollPH,112,4128,00058D93,0,1,1,4294967295,0,0
oInvCollPH,128,4128,0032DF02,0,1,1,4294967295,0,0
oInvCollPH,144,4128,0034EB48,0,1,1,4294967295,0,0
oInvCollPH,160,4128,002BE4D8,0,1,1,4294967295,0,0
oInvCollPH,176,4128,00243AD0,0,1,1,4294967295,0,0
oInvCollPH,176,4144,00229370,0,1,1,4294967295,0,0
oInvCollPH,176,4160,0033079B,0,1,1,4294967295,0,0
oInvCollPH,176,4176,003A7052,0,1,1,4294967295,0,0
oInvCollPH,176,4192,001E7C3B,0,1,1,4294967295,0,0
oInvCollPH,176,4208,00238960,0,1,1,4294967295,0,0
oInvisibleSolid,0,0,00004C07,0,1,1,4294967295,0,1
oInvisibleSolid,288,0,00320F5B,0,1,1,4294967295,0,1
oInvisibleSolid,0,4128,0025528B,0,1,1,4294967295,0,1
